log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition,model
-8.799886369849515,0.21895660168227452,266.51877156017355,1.5177368247093186,41.56206415620641,30.543933054393307,27.89400278940028,3.4746379684263,6.323268548648487,6.562968349797085,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1,GMM
-8.785679782398676,0.16837332148248596,2748.708180302424,1.8409595414443114,44.20289855072464,28.41485507246377,27.382246376811594,3.728940215658147,5.9508934971609415,5.999493362470776,11040.0,60.0,3,Exp1_Synth_to_Synth,Synthetic_Baseline,GMM
0.0,0.02960122420404506,709.4290197950555,4.459964108952506,33.58695652173913,33.731884057971016,32.68115942028986,3.202018443341621,4.916764137087662,6.878751539171176,11040.0,60.0,3,Exp1_Synth_to_Synth,Synthetic_Baseline,Severity_Tercile
0.0,0.18109349720275886,2881.025594553104,1.7614397841769172,45.072463768115945,28.21557971014493,26.711956521739133,3.641976370381901,6.038440345470292,6.12730874621719,11040.0,60.0,3,Exp1_Synth_to_Synth,Synthetic_Baseline,KMeans
-8.140648889890475,0.20381461928836847,272.6305395824839,1.5928161066972628,42.857142857142854,29.35064935064935,27.79220779220779,3.60396474515945,6.336259174851851,6.530281572511439,770.0,12.0,3,Exp2_Real_to_Real,Real_Only_Baseline,GMM
0.0,0.024472947573781562,47.51103440734619,4.228169261760485,30.77922077922078,38.701298701298704,30.519480519480517,3.0435789399641777,5.1131998481924334,7.547750776186083,770.0,12.0,3,Exp2_Real_to_Real,Real_Only_Baseline,Severity_Tercile
0.0,0.21972643159591318,286.1528672707659,1.5190180060853837,46.883116883116884,30.25974025974026,22.857142857142858,3.729243014766328,6.247872123414836,6.913478766194796,770.0,12.0,3,Exp2_Real_to_Real,Real_Only_Baseline,KMeans
-8.996668039313468,0.19715766746798455,243.40500686792373,1.6140378181758583,43.506493506493506,30.25974025974026,26.233766233766232,3.6316768775409116,6.293914828550279,6.612323202515667,770.0,12.0,3,Exp3_Synth_to_Real,ZeroShot_Transfer,GMM
0.0,0.026718142438391625,62.99837695978077,3.718798976184912,30.25974025974026,31.038961038961038,38.701298701298704,3.0237105842191663,4.890734062550826,7.199238888804938,770.0,12.0,3,Exp3_Synth_to_Real,ZeroShot_Transfer,Severity_Tercile
0.0,0.2074722578470976,255.08912041613704,1.5745470874172571,40.77922077922078,32.5974025974026,26.623376623376622,3.4823253130083116,6.219698992253709,6.654578539494117,770.0,12.0,3,Exp3_Synth_to_Real,ZeroShot_Transfer,KMeans
